t,power,slowness,back_azi
2020-01-01T01:30:47.445000Z,845942.4809457789,0.08,129.0
2020-01-01T01:30:47.455000Z,812009.186819545,0.08,126.0
2020-01-01T01:30:47.465000Z,1154744.9805058765,0.32,69.0
2020-01-01T01:30:47.475000Z,1233877.9410614118,0.32,69.0
2020-01-01T01:30:47.485000Z,1539276.0925543543,0.32,69.0
2020-01-01T01:30:47.495000Z,1741920.9384513027,0.32,69.0
2020-01-01T01:30:47.505000Z,1815907.1461043514,0.32,69.0
2020-01-01T01:30:47.515000Z,1808066.0862111214,0.32,69.0
2020-01-01T01:30:47.525000Z,1900013.5179096002,0.32,69.0
2020-01-01T01:30:47.535000Z,2104538.2679762607,0.12,186.0
2020-01-01T01:30:47.545000Z,2456963.0737861805,0.16,183.0
2020-01-01T01:30:47.555000Z,2538647.5266178777,0.16,183.0
2020-01-01T01:30:47.565000Z,2205753.470183387,0.16,180.0
2020-01-01T01:30:47.575000Z,2153539.7411793205,0.16,180.0
2020-01-01T01:30:47.585000Z,2018275.6841134492,0.16,180.0
2020-01-01T01:30:47.595000Z,2234086.847973921,0.16,177.0
2020-01-01T01:30:47.605000Z,2509074.4283978534,0.16,177.0
2020-01-01T01:30:47.615000Z,2665111.4212386077,0.12,174.0
2020-01-01T01:30:47.625000Z,2577254.8856960875,0.12,174.0
2020-01-01T01:30:47.635000Z,2611299.017305616,0.12,174.0
2020-01-01T01:30:47.645000Z,2690396.4983072127,0.12,174.0
2020-01-01T01:30:47.655000Z,2729539.527708526,0.12,171.0
2020-01-01T01:30:47.665000Z,2819058.0252673663,0.12,168.0
2020-01-01T01:30:47.675000Z,2622707.7869601976,0.12,168.0
2020-01-01T01:30:47.685000Z,2623182.0604398553,0.12,165.0
2020-01-01T01:30:47.695000Z,2608280.126964889,0.12,165.0
2020-01-01T01:30:47.705000Z,2681666.1671971446,0.12,162.0
2020-01-01T01:30:47.715000Z,2654328.963199792,0.12,162.0
2020-01-01T01:30:47.725000Z,2293175.9013330922,0.12,150.0
2020-01-01T01:30:47.735000Z,1623217.5374824246,0.12,135.0
2020-01-01T01:30:47.745000Z,1449954.45277134,0.08,129.0
2020-01-01T01:30:47.755000Z,1569658.48330271,0.08,132.0
2020-01-01T01:30:47.765000Z,1343191.594488394,0.08,132.0
2020-01-01T01:30:47.775000Z,1365729.395261088,0.08,129.0
2020-01-01T01:30:47.785000Z,2285859.66578414,0.12,120.0
2020-01-01T01:30:47.795000Z,3037578.585429051,0.12,114.0
2020-01-01T01:30:47.805000Z,3173330.6616228903,0.12,114.0
2020-01-01T01:30:47.815000Z,3060519.687685548,0.12,114.0
2020-01-01T01:30:47.825000Z,2888432.331826892,0.12,114.0
2020-01-01T01:30:47.835000Z,3040919.1818659916,0.12,114.0
2020-01-01T01:30:47.845000Z,2970469.26993027,0.12,114.0
2020-01-01T01:30:47.855000Z,3108917.808529475,0.12,114.0
2020-01-01T01:30:47.865000Z,3081901.440055038,0.12,114.0
